0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
1 0.0 161.15 96.18 160.98 140.69 216.6 127.05 90.2 140.21 89.99 165.03 104.29 35.69 40.26 71.34 86.4 78.01 184.62 136.12 59.0 34.93 88.24 187.32 115.55 33.73 
2 161.15 0.0 88.2 192.21 34.66 153.0 76.4 193.13 102.0 166.97 5.66 138.03 173.17 122.04 141.42 132.88 83.38 136.69 131.47 102.24 158.4 90.35 129.26 161.23 128.0 
3 96.18 88.2 0.0 116.09 88.48 127.88 30.87 105.12 49.4 78.82 89.55 53.0 94.19 70.04 53.85 44.82 41.0 98.01 62.03 49.65 79.31 8.49 97.65 76.85 72.25 
4 160.98 192.21 116.09 0.0 202.27 107.17 115.97 85.59 91.44 71.59 191.23 66.27 131.49 162.6 92.4 83.01 153.06 84.77 60.8 152.12 126.29 120.3 95.19 46.53 160.25 
5 140.69 34.66 88.48 202.27 0.0 179.48 88.77 187.97 117.48 164.79 40.31 141.45 158.82 100.44 136.56 132.01 67.6 159.03 143.28 84.31 144.9 87.32 153.12 165.3 106.96 
6 216.6 153.0 127.88 107.17 179.48 0.0 102.42 175.19 78.6 149.16 149.08 117.48 200.52 197.43 149.51 132.64 166.58 32.2 83.01 177.53 188.81 136.24 30.23 120.81 198.84 
7 127.05 76.4 30.87 115.97 88.77 102.42 0.0 126.24 29.07 97.74 75.82 64.5 123.47 99.36 78.31 64.76 64.64 75.43 55.47 77.79 108.85 38.95 72.62 86.4 102.2 
8 90.2 193.13 105.12 85.59 187.97 175.19 126.24 0.0 119.21 29.15 194.65 65.12 55.01 109.66 51.87 61.68 122.38 144.81 95.89 111.02 57.72 102.93 152.19 54.41 104.55 
9 140.21 102.0 49.4 91.44 117.48 78.6 29.07 119.21 0.0 90.09 100.5 54.08 129.24 118.85 79.12 62.59 89.16 48.75 31.24 99.02 115.87 57.69 48.41 70.84 120.42 
10 89.99 166.97 78.82 71.59 164.79 149.16 97.74 29.15 90.09 0.0 168.12 36.01 60.03 98.31 29.53 34.13 102.08 117.99 67.91 94.15 55.08 77.9 124.72 29.83 94.53 
11 165.03 5.66 89.55 191.23 40.31 149.08 75.82 194.65 100.5 168.12 0.0 138.41 176.15 126.19 143.11 133.99 87.09 133.65 130.43 106.04 161.3 92.2 125.94 161.38 132.06 
12 104.29 138.03 53.0 66.27 141.45 117.48 64.5 65.12 54.08 36.01 138.41 0.0 83.41 98.06 33.3 18.38 87.1 85.48 34.48 86.0 72.84 55.54 91.0 23.85 96.57 
13 35.69 173.17 94.19 131.49 158.82 200.52 123.47 55.01 129.24 60.03 176.15 83.41 0.0 64.35 51.11 68.1 91.55 168.36 117.64 74.71 15.03 88.0 172.9 88.6 58.0 
14 40.26 122.04 70.04 162.6 100.44 197.43 99.36 109.66 118.85 98.31 126.19 98.06 64.35 0.0 71.03 80.06 40.52 166.72 123.57 22.36 53.82 61.55 167.26 116.21 6.71 
15 71.34 141.42 53.85 92.4 136.56 149.51 78.31 51.87 79.12 29.53 143.11 33.3 51.11 71.03 0.0 17.0 72.67 117.32 66.84 64.85 39.62 51.11 121.8 45.89 68.12 
16 86.4 132.88 44.82 83.01 132.01 132.64 64.76 61.68 62.59 34.13 133.99 18.38 68.1 80.06 17.0 0.0 72.8 100.44 50.25 69.35 56.22 44.69 104.81 37.48 78.34 
17 78.01 83.38 41.0 153.06 67.6 166.58 64.64 122.38 89.16 102.08 87.09 87.1 91.55 40.52 72.67 72.8 0.0 137.88 102.59 19.03 77.39 34.13 136.47 109.77 45.71 
18 184.62 136.69 98.01 84.77 159.03 32.2 75.43 144.81 48.75 117.99 133.65 85.48 168.36 166.72 117.32 100.44 137.88 0.0 51.0 147.49 156.6 106.17 10.82 90.47 167.8 
19 136.12 131.47 62.03 60.8 143.28 83.01 55.47 95.89 31.24 67.91 130.43 34.48 117.64 123.57 66.84 50.25 102.59 51.0 0.0 107.28 106.4 68.47 56.92 43.1 123.43 
20 59.0 102.24 49.65 152.12 84.31 177.53 77.79 111.02 99.02 94.15 106.04 86.0 74.71 22.36 64.85 69.35 19.03 147.49 107.28 0.0 61.29 41.34 147.3 106.79 26.93 
21 34.93 158.4 79.31 126.29 144.9 188.81 108.85 57.72 115.87 55.08 161.3 72.84 15.03 53.82 39.62 56.22 77.39 156.6 106.4 61.29 0.0 73.01 160.61 81.41 48.02 
22 88.24 90.35 8.49 120.3 87.32 136.24 38.95 102.93 57.69 77.9 92.2 55.54 88.0 61.55 51.11 44.69 34.13 106.17 68.47 41.34 73.01 0.0 106.02 79.16 63.78 
23 187.32 129.26 97.65 95.19 153.12 30.23 72.62 152.19 48.41 124.72 125.94 91.0 172.9 167.26 121.8 104.81 136.47 10.82 56.92 147.3 160.61 106.02 0.0 98.15 168.77 
24 115.55 161.23 76.85 46.53 165.3 120.81 86.4 54.41 70.84 29.83 161.38 23.85 88.6 116.21 45.89 37.48 109.77 90.47 43.1 106.79 81.41 79.16 98.15 0.0 113.75 
25 33.73 128.0 72.25 160.25 106.96 198.84 102.2 104.55 120.42 94.53 132.06 96.57 58.0 6.71 68.12 78.34 45.71 167.8 123.43 26.93 48.02 63.78 168.77 113.75 0.0 
