0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 0.0 139.98 40.52 137.0 58.83 83.41 39.2 85.44 132.97 18.03 135.93 94.0 51.0 109.11 157.54 128.69 126.67 33.3 46.32 166.18 
2 139.98 0.0 100.5 144.4 81.54 60.21 176.17 55.66 9.22 128.16 12.04 128.79 150.08 60.17 89.59 94.4 76.01 155.5 181.39 53.34 
3 40.52 100.5 0.0 131.61 22.83 48.26 75.72 48.1 94.05 27.8 95.75 91.71 71.59 70.26 132.28 108.46 90.25 64.94 81.22 132.0 
4 137.0 144.4 131.61 0.0 116.78 107.8 169.85 115.42 135.68 143.89 151.73 43.01 95.34 170.55 75.01 51.26 195.26 117.9 177.91 119.85 
5 58.83 81.54 22.83 116.78 0.0 25.61 96.54 26.63 74.24 49.58 78.59 80.43 75.31 64.47 110.11 88.01 87.82 75.54 102.59 109.48 
6 83.41 60.21 48.26 107.8 25.61 0.0 121.75 7.81 51.92 75.17 60.0 78.77 90.2 62.97 87.57 70.09 87.73 95.51 127.99 83.87 
7 39.2 176.17 75.72 169.85 96.54 121.75 0.0 123.07 169.75 48.02 170.95 127.28 76.0 137.79 196.37 166.82 151.08 53.01 8.06 205.08 
8 85.44 55.66 48.1 115.42 26.63 7.81 123.07 0.0 47.93 75.69 54.23 86.53 96.01 55.23 92.09 76.54 79.98 99.92 128.97 84.31 
9 132.97 9.22 94.05 135.68 74.24 51.92 169.75 47.93 0.0 121.83 17.2 119.57 141.42 60.41 83.24 86.05 78.64 147.41 175.21 51.09 
10 18.03 128.16 27.8 143.89 49.58 75.17 48.02 75.69 121.83 0.0 123.0 101.43 65.44 92.66 155.62 129.03 109.22 50.48 53.41 159.02 
11 135.93 12.04 95.75 151.73 78.59 60.0 170.95 54.23 17.2 123.0 0.0 133.14 150.12 49.04 100.34 102.73 64.0 153.76 175.79 65.38 
12 94.0 128.79 91.71 43.01 80.43 78.77 127.28 86.53 119.57 101.43 133.14 0.0 54.56 140.72 87.82 55.01 165.3 76.22 135.33 121.02 
13 51.0 150.08 71.59 95.34 75.31 90.2 76.0 96.01 141.42 65.44 150.12 54.56 0.0 138.88 136.56 103.95 160.82 23.02 84.01 159.66 
14 109.11 60.17 70.26 170.55 64.47 62.97 137.79 55.23 60.41 92.66 49.04 140.72 138.88 0.0 137.03 128.83 24.76 135.07 141.04 111.45 
15 157.54 89.59 132.28 75.01 110.11 87.57 196.37 92.09 83.24 155.62 100.34 87.82 136.56 137.03 0.0 33.02 159.06 153.81 203.79 48.3 
16 128.69 94.4 108.46 51.26 88.01 70.09 166.82 76.54 86.05 129.03 102.73 55.01 103.95 128.83 33.02 0.0 152.82 122.0 174.47 70.06 
17 126.67 76.01 90.25 195.26 87.82 87.73 151.08 79.98 78.64 109.22 64.0 165.3 160.82 24.76 159.06 152.82 0.0 155.0 153.22 129.19 
18 33.3 155.5 64.94 117.9 75.54 95.51 53.01 99.92 147.41 50.48 153.76 76.22 23.02 135.07 153.81 122.0 155.0 0.0 61.0 171.97 
19 46.32 181.39 81.22 177.91 102.59 127.99 8.06 128.97 175.21 53.41 175.79 135.33 84.01 141.04 203.79 174.47 153.22 61.0 0.0 211.57 
20 166.18 53.34 132.0 119.85 109.48 83.87 205.08 84.31 51.09 159.02 65.38 121.02 159.66 111.45 48.3 70.06 129.19 171.97 211.57 0.0 
