0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
1 0.0 168.19 173.42 44.82 108.05 61.39 68.12 144.28 122.43 56.08 150.01 119.44 168.86 196.98 14.0 67.36 93.01 101.92 142.51 176.92 106.38 28.86 48.02 54.42 110.46 
2 168.19 0.0 142.44 149.49 69.46 173.54 101.87 240.57 138.41 119.34 239.71 172.74 5.0 100.84 182.1 103.58 200.81 182.33 26.25 144.81 67.54 167.04 133.79 122.38 167.59 
3 173.42 142.44 0.0 129.32 104.14 128.35 127.94 139.64 52.48 166.48 134.12 77.52 147.26 63.82 183.99 125.78 129.25 101.79 129.76 3.61 110.22 150.21 126.62 124.63 81.02 
4 44.82 149.49 129.32 0.0 81.49 29.15 50.61 115.11 77.78 67.05 118.85 76.54 151.4 158.52 54.67 48.01 63.98 63.0 123.31 132.77 82.22 22.14 16.4 28.02 67.36 
5 108.05 69.46 104.14 81.49 0.0 104.22 40.52 173.48 78.75 73.6 173.51 108.56 72.11 97.74 121.93 40.79 131.61 114.59 44.2 107.49 6.08 100.84 66.75 56.14 102.08 
6 61.39 173.54 128.35 29.15 104.22 0.0 78.49 86.83 76.16 95.63 91.24 61.22 175.9 168.19 65.8 75.66 35.11 40.85 147.73 131.49 106.07 32.56 44.82 55.9 53.08 
7 68.12 101.87 127.94 50.61 40.52 78.49 0.0 159.78 87.3 38.59 161.91 105.38 103.16 135.35 82.1 3.16 111.4 102.16 75.71 131.53 38.33 65.55 34.21 22.67 96.88 
8 144.28 240.57 139.64 115.11 173.48 86.83 159.78 0.0 106.68 182.15 9.22 69.97 244.0 199.54 144.09 156.67 51.97 59.03 217.11 141.06 177.34 117.1 129.08 138.65 73.41 
9 122.43 138.41 52.48 77.78 78.75 76.16 87.3 106.68 0.0 124.04 104.04 36.72 142.41 97.51 132.32 84.53 82.05 55.58 117.83 55.76 84.2 98.08 77.39 77.88 35.17 
10 56.08 119.34 166.48 67.05 73.6 95.63 38.59 182.15 124.04 0.0 185.85 137.03 119.07 171.19 68.45 40.71 130.74 128.57 95.52 170.07 69.34 70.21 54.45 48.09 128.0 
11 150.01 239.71 134.12 118.85 173.51 91.24 161.91 9.22 104.04 185.85 0.0 67.62 243.28 195.0 150.48 158.78 57.08 60.03 216.75 135.37 177.61 122.33 132.19 141.32 72.12 
12 119.44 172.74 77.52 76.54 108.56 61.22 105.38 69.97 36.72 137.03 67.62 0.0 176.48 132.0 126.05 102.26 52.2 25.08 150.6 79.91 113.25 91.3 83.6 89.0 9.22 
13 168.86 5.0 147.26 151.4 72.11 175.9 103.16 244.0 142.41 119.07 243.28 176.48 0.0 105.8 182.72 105.0 203.67 185.61 28.18 149.65 69.84 168.55 135.56 124.06 171.17 
14 196.98 100.84 63.82 158.52 97.74 168.19 135.35 199.54 97.51 171.19 195.0 132.0 105.8 0.0 209.85 134.53 179.47 153.06 99.54 64.03 102.55 180.65 149.49 142.7 132.37 
15 14.0 182.1 183.99 54.67 121.93 65.8 82.1 144.09 132.32 68.45 150.48 126.05 182.72 209.85 0.0 81.3 94.2 106.62 156.46 187.45 120.34 35.0 60.42 67.72 117.35 
16 67.36 103.58 125.78 48.01 40.79 75.66 3.16 156.67 84.53 40.71 158.78 102.26 105.0 134.53 81.3 0.0 108.41 99.01 77.37 129.38 39.05 63.57 31.62 20.0 93.74 
17 93.01 200.81 129.25 63.98 131.61 35.11 111.4 51.97 82.05 130.74 57.08 52.2 203.67 179.47 94.2 108.41 0.0 27.46 175.8 131.8 134.47 65.28 78.89 89.31 48.37 
18 101.92 182.33 101.79 63.0 114.59 40.85 102.16 59.03 55.58 128.57 60.03 25.08 185.61 153.06 106.62 99.01 27.46 0.0 158.42 104.35 118.34 73.08 74.15 82.28 21.02 
19 142.51 26.25 129.76 123.31 44.2 147.73 75.71 217.11 117.83 95.52 216.75 150.6 28.18 99.54 156.46 77.37 175.8 158.42 0.0 132.54 41.68 140.8 107.56 96.14 144.81 
20 176.92 144.81 3.61 132.77 107.49 131.49 131.53 141.06 55.76 170.07 135.37 79.91 149.65 64.03 187.45 129.38 131.8 104.35 132.54 0.0 113.56 153.6 130.18 128.23 83.68 
21 106.38 67.54 110.22 82.22 6.08 106.07 38.33 177.34 84.2 69.34 177.61 113.25 69.84 102.55 120.34 39.05 134.47 118.34 41.68 113.56 0.0 100.81 66.94 55.9 106.53 
22 28.86 167.04 150.21 22.14 100.84 32.56 65.55 117.1 98.08 70.21 122.33 91.3 168.55 180.65 35.0 63.57 65.28 73.08 140.8 153.6 100.81 0.0 34.13 44.91 82.49 
23 48.02 133.79 126.62 16.4 66.75 44.82 34.21 129.08 77.39 54.45 132.19 83.6 135.56 149.49 60.42 31.62 78.89 74.15 107.56 130.18 66.94 34.13 0.0 11.66 74.43 
24 54.42 122.38 124.63 28.02 56.14 55.9 22.67 138.65 77.88 48.09 141.32 89.0 124.06 142.7 67.72 20.0 89.31 82.28 96.14 128.23 55.9 44.91 11.66 0.0 80.02 
25 110.46 167.59 81.02 67.36 102.08 53.08 96.88 73.41 35.17 128.0 72.12 9.22 171.17 132.37 117.35 93.74 48.37 21.02 144.81 83.68 106.53 82.49 74.43 80.02 0.0 
