0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
1 0.0 81.22 105.3 122.89 149.12 14.56 125.4 159.73 149.16 87.01 136.21 125.0 96.84 101.64 52.84 121.26 145.26 157.81 120.88 100.17 141.28 89.56 159.2 118.07 81.84 
2 81.22 0.0 160.51 189.01 155.19 80.99 98.01 159.53 184.76 129.47 200.12 176.58 177.79 126.56 132.2 106.0 139.13 165.39 108.07 165.8 165.64 169.05 223.33 123.22 145.8 
3 105.3 160.51 0.0 37.01 95.34 93.62 128.13 109.66 55.47 34.54 42.72 20.1 94.49 56.01 75.13 112.29 109.88 98.11 109.17 25.0 65.6 123.43 64.5 85.21 27.29 
4 122.89 189.01 37.01 0.0 129.69 114.21 164.98 143.89 79.2 70.41 14.32 39.82 77.49 93.02 78.75 149.27 145.99 131.1 146.17 23.35 97.17 112.61 36.36 122.1 43.28 
5 149.12 155.19 95.34 129.69 0.0 134.63 68.82 14.32 61.81 75.69 129.25 91.01 184.81 50.61 150.89 53.24 24.41 10.2 50.09 119.85 35.01 206.52 143.17 33.06 112.41 
6 14.56 80.99 93.62 114.21 134.63 0.0 113.41 145.36 135.45 73.17 127.0 112.95 97.87 87.1 51.42 108.21 131.23 143.28 107.63 91.05 126.89 96.05 150.24 103.77 71.85 
7 125.4 98.01 128.13 164.98 68.82 113.41 0.0 67.62 120.65 95.08 170.04 134.2 195.21 72.78 151.16 17.49 46.52 78.23 21.1 147.01 94.2 205.28 189.45 47.89 131.38 
8 159.73 159.53 109.66 143.89 14.32 145.36 67.62 0.0 74.11 89.38 143.18 105.02 198.81 63.66 164.1 54.34 21.19 15.52 51.79 134.16 48.26 219.91 156.54 41.79 126.49 
9 149.16 184.76 55.47 79.2 61.81 135.45 120.65 74.11 0.0 62.29 74.24 40.31 149.26 58.31 129.03 103.17 84.48 59.0 99.57 78.82 27.51 178.9 83.74 73.01 81.71 
10 87.01 129.47 34.54 70.41 75.69 73.17 95.08 89.38 62.29 0.0 77.25 47.38 109.84 26.83 75.8 80.16 84.08 81.57 77.32 52.04 56.65 130.97 98.84 56.3 38.63 
11 136.21 200.12 42.72 14.32 129.25 127.0 170.04 143.18 74.24 77.25 0.0 38.33 90.24 97.32 93.01 153.73 147.34 129.54 150.47 36.06 95.34 126.02 23.35 125.32 55.32 
12 125.0 176.58 20.1 39.82 91.01 112.95 134.2 105.02 40.31 47.38 38.33 0.0 109.6 61.68 94.64 117.39 109.11 91.71 114.0 39.36 57.58 140.77 55.32 88.12 47.04 
13 96.84 177.79 94.49 77.49 184.81 97.87 195.21 198.81 149.26 109.84 90.24 109.6 0.0 136.53 47.01 183.87 193.63 189.5 181.8 70.46 159.1 37.22 105.08 165.12 72.47 
14 101.64 126.56 56.01 93.02 50.61 87.1 72.78 63.66 58.31 26.83 97.32 61.68 136.53 0.0 100.45 56.44 57.25 57.8 53.24 77.28 41.19 156.28 116.76 29.83 65.39 
15 52.84 132.2 75.13 78.75 150.89 51.42 151.16 164.1 129.03 75.8 93.01 94.64 47.01 100.45 0.0 141.35 155.57 157.27 139.67 59.41 131.23 56.08 114.39 126.51 47.85 
16 121.26 106.0 112.29 149.27 53.24 108.21 17.49 54.34 103.17 80.16 153.73 117.39 183.87 56.44 141.35 0.0 33.38 63.07 3.61 132.19 76.84 196.54 172.7 30.41 117.55 
17 145.26 139.13 109.88 145.99 24.41 131.23 46.52 21.19 84.48 84.08 147.34 109.11 193.63 57.25 155.57 33.38 0.0 32.56 31.06 133.15 57.01 211.65 163.15 29.07 122.58 
18 157.81 165.39 98.11 131.1 10.2 143.28 78.23 15.52 59.0 81.57 129.54 91.71 189.5 57.8 157.27 63.07 32.56 0.0 60.01 122.97 34.21 212.51 142.02 43.0 117.03 
19 120.88 108.07 109.17 146.17 50.09 107.63 21.1 51.79 99.57 77.32 150.47 114.0 181.8 53.24 139.67 3.61 31.06 60.01 0.0 129.31 73.25 195.04 169.32 26.83 114.93 
20 100.17 165.8 25.0 23.35 119.85 91.05 147.01 134.16 78.82 52.04 36.06 39.36 70.46 77.28 59.41 132.19 133.15 122.97 129.31 0.0 90.6 101.59 59.2 107.08 20.0 
21 141.28 165.64 65.6 97.17 35.01 126.89 94.2 48.26 27.51 56.65 95.34 57.58 159.1 41.19 131.23 76.84 57.01 34.21 73.25 90.6 0.0 184.84 108.3 47.38 87.32 
22 89.56 169.05 123.43 112.61 206.52 96.05 205.28 219.91 178.9 130.97 126.02 140.77 37.22 156.28 56.08 196.54 211.65 212.51 195.04 101.59 184.84 0.0 142.0 182.58 97.94 
23 159.2 223.33 64.5 36.36 143.17 150.24 189.45 156.54 83.74 98.84 23.35 55.32 105.08 116.76 114.39 172.7 163.15 142.02 169.32 59.2 108.3 142.0 0.0 143.38 78.64 
24 118.07 123.22 85.21 122.1 33.06 103.77 47.89 41.79 73.01 56.3 125.32 88.12 165.12 29.83 126.51 30.41 29.07 43.0 26.83 107.08 47.38 182.58 143.38 0.0 94.92 
25 81.84 145.8 27.29 43.28 112.41 71.85 131.38 126.49 81.71 38.63 55.32 47.04 72.47 65.39 47.85 117.55 122.58 117.03 114.93 20.0 87.32 97.94 78.64 94.92 0.0 
